Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number,Website,COVID-19 Test Status,COVID-19 Telehealth Status,COVID-19 Telehealth Status Description
PS 12/MS 484,"Sunset Park Health Council, Inc.",430 Howard Ave,Brooklyn,NY,11233-4558,718-953-4428,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
"CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.","CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.",268 Canal St,New York,NY,10013-3599,212-379-6988,http://www.cbwchc.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Apicha Community Health Center,APICHA COMMUNITY HEALTH CENTER,400 Broadway,New York,NY,10013-3698,212-334-7940,http://www.apicha.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 309 - SCHOOL BASED HLTH CTR,"Bedford Stuyvesant Family Health Center, Inc., The",794 Monroe St,Brooklyn,NY,11221-3501,718-443-6258,,Yes,Yes,"As of 07/17/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
BROADWAY FAMILY HEALTH CENTER,"Bedford Stuyvesant Family Health Center, Inc., The",1238 Broadway,Brooklyn,NY,11221-2906,718-443-2428,,Yes,Yes,"As of 07/17/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 188: The Island School,"William F. Ryan Community Health Center, Inc.",442 E Houston St,New York,NY,10002-1122,212-749-1820,http://www.ryancenter.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Catherine M. Abate Health Center,"Community Healthcare Network, Inc.",150 Essex St,New York,NY,10002-2301,212-477-1120,http://www.chnnyc.org,Yes,Yes,"As of 07/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Shore Road Sports Therapy and Rehabilitation,"Sunset Park Health Council, Inc.",9000 Shore Rd,Brooklyn,NY,11209-5401,718-821-2945,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Intermediate School 49,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,223 Graham Ave,Brooklyn,NY,11206-1203,718-782-8006,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Judson Health Center,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,34 Spring St,New York,NY,10012-4107,212-925-5000,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Ryan Health | NENA,"William F. Ryan Community Health Center, Inc.",279 E 3rd St,New York,NY,10009-7813,212-749-1820,http://www.ryancenter.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
P.S. 196,"Sunset Park Health Council, Inc.",207 Bushwick Ave,Brooklyn,NY,11206-2241,718-497-0139,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Betances Health Center at Bushwick,Betances Health Center,1427 Broadway,Brooklyn,NY,11221-4202,347-390-8701,http://www.betances.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
George Daly House,Care For The Homeless,269 E 4th St,New York,NY,10009-7525,212-260-9825,http://www.nyfsc.org/services/housing_daly.html,Yes,Yes,"As of 05/08/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
GEORGE DALY HOUSE,"Institute For Family Health, The",269 E 4th St,New York,NY,10009-7525,212-678-0570,http://www.institute2000.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Williamsburg Community Health Center,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,279 Graham Ave,Brooklyn,NY,11211-4901,718-963-7820,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
BMS @ Bristol,Brownsville Community Development Corporation,259 Bristol St,Brooklyn,NY,11212-5540,718-345-5000,http://www.bmsfhc.org,Yes,Yes,"As of 07/31/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Brownsville CHC,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,259 Bristol St,Brooklyn,NY,11212-5540,718-495-7283,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 64: The Earth School,"William F. Ryan Community Health Center, Inc.",600 E 6th St,New York,NY,10009-6851,212-749-1820,http://www.ryancenter.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
LFHC Community Medicine Program at Bowery Residents Committee,"Sunset Park Health Council, Inc.",317 Bowery,New York,NY,10003-7105,212-533-5656,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
"The Door – A Center of Alternatives, Inc.","Sunset Park Health Council, Inc.",555 Broome St,New York,NY,10013-1510,212-941-9090,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Cylar House Community Health Center,"Housing Works Health Services III, Inc.",743 E 9th St,New York,NY,10009-5335,718-827-8700 x4303,,Yes,Yes,"As of 07/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Brownsville Multi-Service Family Health Center,Brownsville Community Development Corporation,592 Rockaway Ave,Brooklyn,NY,11212-5539,718-345-5000,http://www.bmsfhc.org,Yes,Yes,"As of 07/31/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Third Street Primary Care Clinic,"PROJECT RENEWAL, INC.",8 E 3rd St,New York,NY,10003-8908,212-533-8400,,Yes,Yes,"As of 07/10/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
LifeLine Van,"PROJECT RENEWAL, INC.",8 E 3rd St,New York,NY,10003-8908,212-533-8400,http://www.projectrenewal.org,Yes,Yes,"As of 07/10/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
MedVan,"PROJECT RENEWAL, INC.",8 E 3rd St,New York,NY,10003-8908,212-533-8400,,Yes,Yes,"As of 07/10/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
850 Grand Street Campus High School,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,850 Grand St,Brooklyn,NY,11211-5002,718-387-2800,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
CareVan,"PROJECT RENEWAL, INC.",8 E 3rd St,New York,NY,10003-8908,212-533-8400,http://www.projectrenewal.org,Yes,Yes,"As of 07/10/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Bushwick Communicare Center,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,335 Central Ave,Brooklyn,NY,11221-4501,718-573-4860,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Bushwick Family Residence,Care For The Homeless,1675 Broadway,Brooklyn,NY,11207-1495,718-574-2707,http://www.salvationarmy-newyork.org,Yes,Yes,"As of 05/08/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PETER JAY SHARP CENTER FOR OPPT,Care For The Homeless,89 Porter Ave,Brooklyn,NY,11237-1417,718-417-2535,http://www.doe.org,Yes,Yes,"As of 05/08/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
JHS 126 School-Based Health Center,"Sunset Park Health Council, Inc.",424 Leonard St,Brooklyn,NY,11222-3908,718-782-2527,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
South Shore Educational Complex,"Sunset Park Health Council, Inc.",6565 Flatlands Ave,Brooklyn,NY,11236-3525,718-964-1530,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
"ScanVan, mobile van","PROJECT RENEWAL, INC.",200 Varick St,New York,NY,10014-4810,631-581-4171,,Yes,Yes,"As of 07/10/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Magnolia House,"Sunset Park Health Council, Inc.",1424 Herkimer St,Brooklyn,NY,11233-3337,718-437-5201,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Roberto Clemente Family Guidance Center,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,540 E 13th St,New York,NY,10009-3519,212-387-7400,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Barbara Kleinman Shelter,"Sunset Park Health Council, Inc.",300 Skillman Ave,Brooklyn,NY,11211-1607,718-963-4425,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Atlantic House Shelter,"Sunset Park Health Council, Inc.",2402 Atlantic Ave,Brooklyn,NY,11233-3402,718-385-8335,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Homecrest District Health Center,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1601 Avenue S,Brooklyn,NY,11229-2920,718-616-5130,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Care Found Here: Junius St,Care For The Homeless,91 Junius St,Brooklyn,NY,11212-8021,212-366-4459,,Yes,Yes,"As of 05/08/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Bushwick Educational Campus,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,400 Irving Ave,Brooklyn,NY,11237-5938,718-417-5378 x1042,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
BMS@Genesis,Brownsville Community Development Corporation,360 Snediker Ave,Brooklyn,NY,11207-4552,646-459-9400,http://www.bmsfhc.org,Yes,Yes,"As of 07/31/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
HELP I FAMILY CENTER,FLOATING HOSPITAL INCORPORATED (THE),515 Blake Ave,Brooklyn,NY,11207-4502,718-872-9440,,Yes,Yes,"As of 07/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
"Alliance Community Healthcare, Inc.",HORIZON HEALTH CENTER INC,115 Christopher Columbus Dr,Jersey City,NJ,07302-5526,201-679-7119,http://www.alliancech.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
BMS Dental@Genesis,Brownsville Community Development Corporation,330 Hinsdale St,Brooklyn,NY,11207-4518,718-345-5000,http://www.bmsfhc.org,Yes,Yes,"As of 07/31/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Bay Street Health Center,"Hudson River Healthcare, Inc.",57 Bay St,Staten Island,NY,10301-2510,718-681-8700,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
56 Bay Street Outpatient Treatment,"Hudson River Healthcare, Inc.",56 Bay St Fl 2nd,Staten Island,NY,10301-2563,718-808-1300,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Williams Avenue,"PROJECT RENEWAL, INC.",116 Williams Ave,Brooklyn,NY,11207-2925,212-913-9993 x675,,Yes,Yes,"As of 07/10/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
FLATLANDS,FLOATING HOSPITAL INCORPORATED (THE),10875 Avenue D,Brooklyn,NY,11236-1931,718-257-2978,,Yes,Yes,"As of 07/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Project Hospitality Drop in Center Outreach Service,"Sunset Park Health Council, Inc.",25 Central Ave,Staten Island,NY,10301-2501,718-720-0079,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
East New York Health Hub,"Community Healthcare Network, Inc.",2581 Atlantic Ave Fl 1,Brooklyn,NY,11207-2412,212-545-2400,http://www.chnnyc.org/,Yes,Yes,"As of 07/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Greenpoint Health Center,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,875 Manhattan Ave,Brooklyn,NY,11222-2227,718-388-5889,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
WASHINGTON IRVING SCHOOL BASED HEALTH CENTER,"Institute For Family Health, The",40 Irving Pl,New York,NY,10003-2305,646-654-0640,http://www.institute2000.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
